punto_interes_tipo,punto_interes_descripcion,punto_interes_nombre,espacio_natural_nombre,punto_interes_subtipo,latitud,longitud
Patrimonio Arquitectónico,"La ermita de Chamorga, pertenece a la parroquia de 
Nuestra Señora de las Nieves de Taganana, y fue construida en la década de 1930 bajo la advocación de la Purísima Concepción.",Ermita de la Purísima Concepción,Parque Rural de Anaga,Edificio religioso,28.568683920144508,-16.159284828549094
Patrimonio Biológico,Pino Padre conocido como referencia del lugar. Situado en el sendero PR 35,Pino de la Punta de la Baranda,Parque Natural de Corona Forestal,Árbol monumental,28.36035492454518,-16.49627759184498
Patrimonio Etnográfico,"Constituyen un lugar emblemático donde reina la paz, ideal parala relajación, siendo además un importante recurso etnográfico del municipio",Lavaderos de Susana,,Instalación hidráulica,28.36071577096897,-16.814185171920656
Patrimonio Arquitectónico,"Construida a finales del siglo XIX, esta ermita llama la atención principalmente por su pequeño campanario",Ermita Nuestra Señora de Lourdes,,Edificio religioso,28.352678194821465,-16.80366191660127
Patrimonio Etnográfico,,Lagares del Camino del Chorro,Parque Rural de Anaga,Instalación agrícola,28.56227286083645,-16.2307441671679
Asentamientos,"Pinolere es un pequeño pueblo enclavado en el frondoso monte con una historia que está marcada por el apego a la tierra de sus 700 habitantes, tanto por la importancia de la agricultura como por tradiciones tan arraigadas como el carboneo o la cestería. Está rodeado de barrancos (Quirirá, La Arena y La Hondura) y la visita sorprende porque se conservan todavía algunas de sus construcciones tradicionales",Pinolere,,Núcleo poblacional,28.37890382625624,-16.499666553096386
Asentamientos,"Reducto de las costumbres rurales de la isla, en pleno corazón del Parque Rural de Teno. Tiene un rico legado etnográfico donde destacan los hornos o eras, así como las casas de tradicional arquitectura rural canaria",Los Bailaderos o Teno Alto,Parque Rural de Teno,Núcleo poblacional,28.34359590106662,-16.876718436464877
Patrimonio Etnográfico,Curiosa e interesante era antigua construida sobre lava pahoehoe,Era de la Fajana de Charagueche,Parque Nacional del Teide,Instalación agrícola,28.23561187535143,-16.706386345630097
Asentamientos,"Caserío abandonado de tradición agrícola, que conserva muestras de arquitectura rural tradicional canaria, pero famoso por las vistas a los valles de alrededor",Caserío Las Casillas,Parque Rural de Anaga,Núcleo poblacional,28.55222271414609,-16.156381099709566
Patrimonio Biológico,"Presenta un hueco de 170 cm de alto, 85 cm de ancho y 60 cm de fondo. Es un ejemplar solitario a un lado de la pista de acceso a Los Partidos de Franquis. Tiene líquenes y batatillas epífitos en su cara Norte",Pino de Nica,Parque Rural de Teno,Árbol monumental,28.31731491008664,-16.79302606951247
Patrimonio Biológico,"Este drago fue trasplantado hace unos 60 años a su actual emplazamiento, teniendo ya gran porte por aquel entonces es centenario, ya que tiene 8 niveles de ramificación. Se ha incluído en el catálogo por ser el único drago viejo de la zona",Drago de Igueste de Candelaria,,Árbol monumental,28.382347246444123,-16.37408483268557
Patrimonio Arquitectónico,"Pequeño santuario construido en el siglo XX por el Personal Forestal del estado, con la ayuda municipal",Ermita de San Francisco de Asís,Parque Natural de Corona Forestal,Edificio religioso,28.33545698320331,-16.759072265709825
Patrimonio Arquitectónico,"La Virgen de Begoña es la patrona de Almáciga y una de las 
imágenes más veneradas del Macizo de Anaga. Pese a tratarse de una réplica de la imagen que se encuentra en la Basílica de Nuestra Señora de Begoña en Bilbao, la imagen de Almáciga tiene su propia historia, la cual se ha convertido en una de las más populares de Tenerife",Ermita de Nuestra Señora de Begoña,Parque Rural de Anaga,Edificio religioso,28.57130053488104,-16.19730200981536
Patrimonio Geológico,El Volcán de las Rozas es una formación volcánica que desempeñó un papel fundamental en la creación de la plataforma volcánica de Punta del Hidalgo.,Volcán de las Rozas,Parque Rural de Anaga,Montaña/Volcán,28.55741973127513,-16.31607751558326
Asentamientos,"Caserío fundado sobre asentamiento guanche, famoso por su cercanía a la Playa de Benijo, con gran belleza paisajística y tradición agraria",Benijo,Parque Rural de Anaga,Núcleo poblacional,28.57266520196865,-16.187192873075716
Patrimonio Biológico,"Su denominación proviene de un laurel epífito que crece en una de sus horquillas. Presenta además en la primera ramificación una zarza, batatillas y líquenes epífitos. Es un ejemplar muy visible desde la mencionada carretera, por lo que muchos turistas paran para retratarse bajo su sombra",Pino Loro,Parque Rural de Teno,Árbol monumental,28.31820052722152,-16.796843341755128
Patrimonio Biológico,"La circunferencia del árbol medida a un tamaño de 1,30 m es 4,80 m. El tamaño es de exactamente 10 m ",Higuera de la China,,Árbol monumental,28.209557815544382,-16.778330401536575
Patrimonio Geológico,"La Montaña de Guajara, con sus imponentes 2.718 metros de altitud, se erige como el punto más elevado dentro del Parque Nacional y se posiciona como el tercer pico más alto de la isla. Esta majestuosa montaña, con su silueta distintiva, es un punto de referencia icónico en el Parque Nacional del Teide.",Montaña de Guajara,Parque Nacional del Teide,Montaña/Volcán,28.21565573673293,-16.610398945034728
Asentamientos,"Pequeño caserío de larga tradición agrícola con su pequeña ermita dedicada a Nuestra Señora de Begoña, y su playa, paraíso de surfistas por su intenso oleaje",Almáciga,Parque Rural de Anaga,Núcleo poblacional,28.571310536863464,-16.198040078660554
Patrimonio Geológico,El Volcán Las Narices del Teide es el resultado de la erupción de 1798 y se caracteriza por la presencia de dos cráteres volcánicos que surgieron durante este evento.,Las Narices del Teide,Monumento Natural del Teide,Cráter,28.254974871495108,-16.676881653847555
Patrimonio Biológico,"Como ocurre con otros árboles del Monteverde canario, cuando se pudre el tronco principal de los laureles, es sustituido por chupones del propio árbol. Por lo tanto, aunque el tronco es diferente, el árbol sigue siendo el mismo. El tronco principal mide 680 cm de perímetro, aunque actualmente sólo quedan sus restos en un tocón. Tiene tres grandes chupones de 250 cm de perímetro, y quedan restos de un cuarto. Batatillas epífitas. Al estar en una zona recreativa, sufren una elevada presión por los visitantes",Laureles Llano de los Viejos,Parque Rural de Anaga,Árbol monumental,28.527497747379684,-16.282988948127638
Patrimonio Biológico,"Grupo de 3 palmeras masculinas. Presentan buen aspecto con parterre circular alrededor. Alturas 6,7 y 8 metros; Perímetros: 1.45, 1.60, 1.87 m. Se considera notable por su belleza y ornamento de esta construcción histórica y zona tradicional del casco municipal. Utilizadas como base de decoración de diversos festejos",Palmas de la Iglesia de San Francisco,,Árbol monumental,28.373087045766187,-16.764109156683958
Cultura y Arte,"Museo Etnográfico, inaugurado en 2002 en cuyas instalaciones se recrea la cultura popular, la historia y las costumbres de esta zona de medianías del norte de Tenerife. El centro cuenta con una era, distintas casas terreras, corrales con gallinas y conejos, un huerto de plantas medicinales y sus características casas pajizas o pajares, tradicionales construcciones utilizadas antaño como vivienda -y habilitados hoy como salas de exposiciones-. Una meticulosa reproducción de una ""venta"" (tienda) tradicional es otro de sus contenidos de interés.",Museo y Parque Etnográfico de Pinolere,,Centro de interpretación/museo,28.37833760729276,-16.49981277740978
Patrimonio Biológico,"Es un enorme pino padre conocido como referencia del lugar, destacando sobre otros pinos de gran talla. Es el ejemplar más viejo de la zona rodeado de bosque mixto. De sus ramas cuelgan líquenes dándole un aspecto fantasmal. Presenta una gran rama lateral hacia la pista de Los Órganos. Se encuentra en una zona de difícil acceso, pero su copa se puede ver desde la pista de Los Órganos",Pino Negro,Parque Natural de Corona Forestal,Árbol monumental,28.3596151945031,-16.48945851839302
Patrimonio Etnográfico,"La era de Los Borges está  situada cerca de la casa de Tamadaya, a unos 400 metros siguiendo el sendero que parte de la casa, la encontraremos a nuestra derecha",Era de los Borges,,Instalación agrícola,28.19248743492495,-16.50146568925664
Patrimonio Geológico,,Paisaje Lunar,Parque Natural de Corona Forestal,Formación rocosa,28.19093509324664,-16.603918587885914
Patrimonio Biológico,"Árboles de elevada altura pero poca frondosidad. Perímetro 1º: 6,15 m, 2º: 4,9 m. Altura: aproximadamente 25 y 
20 m respectivamente",Pinos de San Roque,,Árbol monumental,28.1590617876354,-16.639178886174808
Patrimonio Arquitectónico,La ermita de San Roque fue construida a principios del siglo XVII y está situada en una colina desde la que se otea el casco del pueblo. Con suelo de losa chasnera se compone de una sola nave y cubierta a dos aguas,Ermita de San Roque,,Edificio religioso,28.15884616662468,-16.638842365656846
Servicios y Facilidades,,Oficina de Información de Tegueste,,Punto de información,28.52308362462056,-16.336145377819072
Patrimonio Geológico,,Barranco Cuevas Negras / Barranco del Agua,Parque Rural de Teno,Barranco,28.352286228397453,-16.812521199785785
Asentamientos,"En pocas ciudades se da el caso de que una fecha marque el comienzo de una nueva etapa. Y la historia de Garachico se articula en base a un acontecimiento de tipo natural que marca un antes y un después: la erupción del volcán de Arenas Negras en 1706. Este cono volcánico sepultó por medio de la lava gran parte de las zonas de medianías, el casco y su puerto, y ello trajo consigo grandes pérdidas en lo patrimonial, en lo económico y en definitiva en lo vinculado con la población de este núcleo de Daute. A partir de ahí comienza una reconstrucción de su trama arquitectónica y urbanística que ha llegado prácticamente intacta hasta la actualidad, aunque durante los siglos XIX y XX la villa experimentó los cambios propios que puede sufrir cualquier sociedad en desarrollo. A pesar de la destrucción del volcán, conserva algunas viviendas señoriales y edificios religiosos que se articulan en un trazado urbano que discurre paralelo a la costa.",Conjunto Histórico Villa y Puerto de Garachico,,Bien de Interés Cultural,28.373139127575083,-16.764610184775133
Patrimonio Biológico,"Se trata de un árbol espectacular por sus proporciones. Destaca en altura sobre el resto del bosque. Se encuentra junto al sendero que sube hacia Cruz del Carmen, al principio",Faya Llano de los Viejos,,Árbol monumental,28.52312755072548,-16.292584980131906
Patrimonio Biológico,Este pino canario se encuentra en las Cuevecitas de Candelaria,Pino de Cha Meliá,,Árbol monumental,28.357857103557347,-16.400294083200833
Patrimonio Biológico,"En el casco histórico de Arona se encuentra un ejemplar de almácigo centenario, con una altura de nueve metros, que está incluido en el Libro de Árboles Monumentales de Tenerife. Este árbol es uno de los elementos del escudo heráldico del municipio, por lo que forma parte de su patrimonio cultural. Existen otros almácigos en Arona, al borde de la carretera que sube hacia Vilaflor. 
Uno de ellos, actualmente desaparecido, se encuentra en el escudo heráldico de este municipio sureño. Es visible desde la carretera, destacando frente a la casa de la que se encuentra próximo",Almácigo de Arona,,Árbol monumental,28.10028595439739,-16.680668744559163
Patrimonio Arquitectónico,"La iglesia de Santa Ana se asienta sobre un solar donado en 1520 por el rico genovés Cristóbal de Ponte, y es muy probable que su advocación responda al hecho de que su mujer se llamara Ana, como suele ser lo propio en estas circunstancias. Afectada por la erupción del volcán de Trevejo en 1706 que sepultó gran parte de la Villa y Puerto, tuvo que ser reconstruida y enriquecida gracias a los bienes muebles de los conventos que también existían en la zona. Su disposición es de tres naves con tres capillas en el testero, la mayor de gran desarrollo.",Iglesia de Santa Ana,,Edificio religioso,28.372716405170987,-16.76508539401122
Patrimonio Biológico,,Charcas de Erjos,Parque Rural de Teno,Humedal,28.318879375029265,-16.80909653168847
Patrimonio Biológico,"Con acebiños y brezos creciendo en su base. Está «enteado», es decir, su interior tiene tea. 
Puede observarse una ramificación a dos metros de altura",Pino Rey,,Árbol monumental,28.39049070326487,-16.4826540870307
Patrimonio Biológico,,Jardín Botánico de El Portillo,Parque Nacional del Teide,Jardín,28.30514669388753,-16.56597581736587
Patrimonio Biológico,"En él se ubicó la campana de la ermita de Santa Ana, siendo, según cuentan orgullosos los vecinos, el único 
campanario que crece todos los años. Una de sus ramas se utiliza como soporte de la campana de la ermita, de ahí su denominación popular",Pino El Campanario,,Árbol monumental,28.14508570151313,-16.546319219958978
Patrimonio Geológico,"La Cañada de la Grieta es una de las notables planicies que se encuentran a lo largo del conocido sendero PNT 04 Siete Cañadas. Su nombre se origina en el icónico Roque de la Grieta, una formación rocosa distintiva que se alza en esta zona.",Cañada de la Grieta,Parque Nacional del Teide,Formación rocosa,28.241818976333025,-16.576459748721454
Patrimonio Etnográfico,"Dentro de esta casa del siglo XVII encontramos la era más grande de la isla, y está en perfecto estado de conservación",Era de la Casa del Patio,,Instalación agrícola,28.29800953068432,-16.81454752271706
Patrimonio Geológico,,Montaña El Cerro,Paisaje Protegido de Las Lagunetas,Montaña/Volcán,28.44372984501864,-16.391621557016492
Patrimonio Biológico,"Localizada en un pinar mixto. Se encuentra ramificada desde su base. 
Está en las proximidades del Pino Santo, un notable ejemplar de Pino Canario catalogado como de Interés Regional",Faya Santa,,Árbol monumental,28.38251784416473,-16.478648823783768
Patrimonio Arquitectónico,"También es conocida como Ermita de la Encarnación o de La Enramada, puesto que allí se depositó y veneró la imagen de la Virgen de la Encarnación que apareció en la Playa de la Enramada. Esta primitiva ermita se construyó a principios del siglo XVI, pero es reconstruida en 1558 por Pedro de Ponte, regidor de Tenerife y caballero de la Orden de Calatrava",Ermita Vieja de San Sebastián,,Edificio religioso,28.0970035003109,-16.747292222238013
Patrimonio Geológico,,La Catedral,Parque Nacional del Teide,Formación rocosa,28.222913597308825,-16.6346009636126
Asentamientos,"Enclave natural con gran valor etnográfico abandonado desde los 70. Conserva muchos elementos de la vida tradicional rural del sur de Tenerife, con aljibes, hornos, eras y cuevas. Fue el granero de Isora por su gran producción agrícola",Caserío de Las Fuentes,,Núcleo poblacional,28.19367469703729,-16.742568035258344
Patrimonio Geológico,,Barranco La Lora,,Barranco,28.37053347945656,-16.587454708120926
Patrimonio Biológico,Único eucalipto de la zona y de los mayores de la Comarca,Eucalipto El Convento / El Conventito,Parque Natural de Corona Forestal,Árbol monumental,28.178476674284813,-16.592833161023044
Servicios y Facilidades,,Oficina Municipal de Turismo de Los Realejos,,Punto de información,28.380720888709245,-16.584877805612173
Patrimonio Geológico,"Para muchos esta playa salvaje rodeada de naturaleza y con unas privilegiadas vistas de los Roques de Anaga, es una de las más espectaculares de Tenerife. Tiene unas dimensiones de 300 metros de largo por 30 metros de ancho y esta compuesta de arena negra y entorno con callaos. Hay que tener especial precaución con el oleaje, ya que por lo general es fuerte. Salvo los meses de julio, agosto y septiembre no cuenta con servicio de socorristas. Su grado de ocupación es medio-alto los meses de verano y bajo el resto del año, siendo frecuentada principalmente por gente local. Es una playa mixta, donde resulta habitual ver a bañistas practicar nudismo. No dispone de servicios y para acceder a la misma, hay que hacerlo por un sendero con escaleras. Su acceso y la fuerza del oleaje hacen que sea una playa peligrosa. Para poder disfrutar de la playa en su máximo esplendor, se recomienda la visita con la marea baja. ",Playa de Benijo,Parque Rural de Anaga,Playa,28.575579092017136,-16.185942549208896
Patrimonio Arquitectónico,"En 1663 se constituye el Señorío del Valle de Santiago, por el maestre de campo de los tercios de milicias provinciales Fernando del Hoyo Solórzano y Alzola. A este momento pertenece la época de construcción de esta gran Hacienda de los Marqueses de San Andrés que algunos autores la establecen entre 1665 y 1668, residencia señorial de don Fernando en la Villa de Santiago, y que desde entonces ha sido el edificio más emblemático del Valle. Otra disposición real de 1679 le autoriza a fundar mayorazgo de sus bienes, incluyendo el patronato sobre las ermitas de San Juan Bautista de Taco (Buenavista del Norte) y Nuestra Señora del Rosario, en Tejina de Isora. El Cabildo de la isla se opuso tenazmente a la creación de dicho Señorío, y diversos pueblos de la isla ofrecieron cantidades para comprar de nuevo dicha jurisdicción, así como la del Señorío de Adeje. ",Casa del Patio,,Edificio emblemático,28.29832156240263,-16.815825787627873
Patrimonio Geológico,"La Montaña de Tejina es un cono volcánico que en tiempos posteriores fue dedicado a la agricultura, lo que resultó en la creación de terrazas de cultivo que la rodean. Esta combinación de elementos geológicos y agrarios agrega un atractivo singular a la montaña",Montaña de Tejina,Monumento Natural de La Montaña Tejina,Montaña/Volcán,28.19175471332452,-16.74829048786181
Patrimonio Geológico,"La Montaña de Samara es un cono volcánico de aspecto llamativo que marca la entrada al Parque Nacional. Su cráter es accesible para visitar, ofreciendo a los excursionistas y amantes de la geología la oportunidad de explorar esta singular formación volcánica",Montaña de Sámara,Parque Nacional del Teide,Montaña/Volcán,28.26898652530869,-16.726547597803336
Patrimonio Geológico,"El Barranco del Tomadero es un profundo cañón que tiene su origen en el Risco de los dos Hermanos. Este impresionante barranco serpentea a través del paisaje, ofreciendo una perspectiva natural impresionante.",Barranco del Tomadero,Parque Rural de Anaga,Barranco,28.569085991129747,-16.303037044640085
Patrimonio Arquitectónico,"El convento de San Bernardo fue fundado el 31 de agosto de 1649 por 
el capitán Sebastián Pérez Enríquez y su mujer Luisa Francisca Montañés, a quienes se deben los adelantos de la construcción y su primera dotación material. Allí profesaron al menos tres de sus hijas, quienes iniciaron la andadura monacal junto a otras cinco mujeres en calidad de religiosas fundadoras. Sin embargo, la extrema pobreza del convento y del lugar donde se emplazaba no le hizo ganar el desarrollo que habían adquirido otras fundaciones del mismo tipo existentes en Garachico, Icod, Los Realejos, La Orotava, Puerto de la Cruz o La Laguna. Destacan el claustro con el patio interior con corredor de madera de sencillas carpinterías y la iglesia de una sola nave con capilla mayor, situada en el costado norte que abre a la plaza principal.",Antiguo Convento de San Bernardo,,Edificio religioso,28.365308820297432,-16.81718374338838
Patrimonio Arquitectónico,"El convento franciscano de Nuestra Señora de los Ángeles surgió en 1524 a raíz del patrocinio del genovés Cristóbal de Ponte, que cedió unos terrenos de su propiedad junto a una ermita existente bajo esta advocación mariana construida a principios del siglo XVI. Posee dos claustros, hoy dependencias del ayuntamiento, y una iglesia con capilla anexa dedicada a la Misericordia. Se trata del convento más antiguo del municipio, con dos portadas de cantería con frontón y columnas.","Antiguo Convento Franciscano de Nuestra 
Señora de Los Ángeles",,Edificio religioso,28.3730879724328,-16.7639260226816
Cultura y Arte,"El Espacio Casa de Piedra es lugar de encuentro, de foros y seminarios de artistas, que tendrán en este espacio un autentico vivero para la creación, a la vez que un recinto para la exposición de la obra que se genere en este semillero artístico",Espacio de Arte la Casa de Piedra,,Espacio cultural,28.372932424713927,-16.764383515299023
Cultura y Arte,"El Ecomuseo de El Tanque acoge una exposición sobre la vida en el Partido de Abajo, nombre que se le daba antiguamente a este lugar, mediante paneles interpretativos, audiovisuales, realidad virtual e interactivos, destinados a conocer la historia y cultura de este pequeño rincón del norte de Tenerife",Ecomuseo de El Tanque,Parque Rural de Teno,Centro de interpretación/museo,28.319503920615364,-16.798439538112856
Patrimonio Arquitectónico,"Construido sobre el terreno que ocupaba la primera ermita del municipio, este inmueble data de mediados de finales del siglo XVI. Fue reformada a principios del siglo XX",Iglesia Parroquial de Nuestra Señora de la Luz,,Edificio religioso,28.36527163876263,-16.81691355540062
Patrimonio Arquitectónico,"La Casa Forestal de Anaga es un edificio histórico que, en su pasado, funcionó como una instalación forestal. Sin embargo, en la actualidad, ha sido reutilizado y alberga las oficinas de la Policía Local y Protección Civil.",Casa Forestal de Anaga,Parque Rural de Anaga,Edificio emblemático,28.54187647931534,-16.228846158118056
Patrimonio Geológico,,Montaña Blanca,Monumento Natural del Teide,Montaña/Volcán,28.26815976876069,-16.61223270345686
Asentamientos,"El pasado agrónomo de Los Silos estás más que patente en la historia del municipio, partiendo del hecho de su denominación. Integrado en el antiguo menceyato de Daute, debe su nombre a los silos o depósitos subterráneos para el trigo construidos por Gonzalo Yanes, heredero del ingenio del Adelantado. Desde su pasado su plaza y la iglesia de Nuestra Señora de la Luz han sido el centro neurálgico del municipio, desde donde se articulan de forma radial las principales calles que configuran el histórico casco urbano: Estrella y Benítez de Lugo; y Doctor Jordán y El Olivo. El límite del conjunto viene determinado al este por la plazoleta de la Constitución y al oeste por la plaza del Calvario. En ese entorno se conservan los principales inmuebles a destacar, como la casa que alberga el ayuntamiento, el kiosco de la plaza principal o las viviendas de dos plantas con balcones y ventanas de guillotinas construidas en torno a un patio central.",Conjunto Histórico de Los Silos,,Bien de Interés Cultural,28.36559731060081,-16.817360978468468
Asentamientos,"Localidad situada al norte de la capital de la isla, con rico patrimonio natural, arquitectónico y etnográfico. Históricamente es un pueblo agrícola, manteniéndose hoy por hoy como subsistencia de papas, viña, batata y hortalizas. El estado y mantenimiento de las construcciones en el casco, es digno de admiración",Taganana,Parque Rural de Anaga,Núcleo poblacional,28.56072444497281,-16.217022972792517
Patrimonio Geológico,"Este barranco, ampliamente reconocido en la región, se destaca por su impresionante entorno natural, en especial el Monte Verde. Aquí encontramos una popular área de descanso conocida como ""La Cruz del Dornajito""",Barranco del Dornajito / Los Tres Pinos,,Barranco,28.36104678808108,-16.527362548114237
Patrimonio Biológico,"Su tronco está ramificado a los 60 cm del suelo con tres pernadas de grandes dimensiones. 
Rodeado de un sotobosque de fayal-brezal. El perímetro de tronco en la base es de 7,30 m","Los Tres Pinos / Pino de las Tres
Pernadas",Parque Natural de Corona Forestal,Árbol monumental,28.330966044629992,-16.75999581973104
Patrimonio Arquitectónico,"Ruinas de construcción en piedra, donde vivían los ganaderos de la zona",Casas Marrubial,Parque Natural de Corona Forestal,Edificio emblemático,28.180558041077862,-16.616130277969255
Patrimonio Geológico,"El Lomo de Mataborricos, ubicada al sur del núcleo de Casas de la Cumbre, es una fuerte pendiente en el terreno que aporta un elemento distintivo a la zona.",Lomo Mataborricos,Parque Rural de Anaga,Loma,28.535183983663856,-16.2339814270984
